REF_AREA,SE_GCEDESD_CUR,SE_GCEDESD_NEP,SE_GCEDESD_SAS,SE_GCEDESD_TED
Denmark,0.68229,,0.83333,0.775
Finland,0.8125,0.875,,0.85
Iceland,,,,
Norway,,,,
Sweden,0.80469,1.0,0.83333,
