TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania,Latin America and the Caribbean
2001,,,38.8,55.5,,,22.0
2006,,,36.7,48.6,,,23.3
2011,,,38.3,45.0,,,23.4
2016,,,36.3,36.5,,,22.5
2021,,,34.7,28.0,,,21.3
