Year,Denmark,Finland,Iceland,Norway,Sweden
1990,71429.972,71015.768,3674.481,51431.791,71441.555
1991,82054.152,68929.12,3459.852,49025.047,71688.516
1992,76040.82,67511.797,3369.4,47367.611,71213.258
1993,78197.697,69761.201,3449.368,49331.791,71510.192
1994,82105.132,75346.753,3376.159,51236.051,74016.112
1995,79174.867,71632.461,3506.175,51631.424,73363.501
1996,92340.46,77625.718,3563.568,54511.429,77313.203
1997,82916.566,76325.077,3731.123,54533.099,72310.304
1998,78885.857,72632.576,3875.5,54560.823,72759.318
1999,76380.864,72008.856,4096.919,55582.864,69684.059
2000,72100.872,70130.084,4119.481,54922.381,68337.642
2001,73820.461,75462.55,4011.136,56192.66,69156.523
2002,73239.917,77894.207,4101.835,55009.78,69871.856
2003,78316.449,85529.772,4065.172,55613.214,70231.124
2004,72333.084,81823.59,4167.989,56013.998,69656.839
2005,67944.27,69849.499,4018.839,54945.193,66827.532
2006,75696.14,81206.918,4608.876,54933.791,66441.37
2007,71086.703,79565.727,4906.7,56604.909,65324.016
2008,67493.877,71466.308,5299.866,55131.031,62952.521
2009,64703.088,67794.606,4969.116,52672.109,58680.169
2010,65011.358,75602.475,4864.922,54938.674,64713.641
2011,59786.038,67835.63,4646.539,53990.816,60371.632
2012,55194.774,62290.099,4653.193,53412.712,57508.572
2013,56919.35,62724.309,4661.031,53671.557,55842.977
2014,52740.341,58546.374,4661.461,54040.582,53944.024
2015,50125.456,54970.871,4746.024,54488.249,54105.996
2016,52158.395,57868.14,4692.48,53585.779,53701.68
2017,50038.344,55056.069,4776.967,52840.349,53100.525
2018,49963.805,56125.121,4847.088,52871.073,52149.828
2019,46145.429,52734.655,4713.009,51086.034,50810.593
2020,43457.975,47716.296,4509.64,49272.554,46284.753
