SERIES,Denmark,Finland,Iceland,Norway,Sweden
SG_NHR_IMPLN,1.0,1.0,,1.0,
SG_NHR_INTEXSTN,,,,,1.0
SG_NHR_NOAPPLN,,,1.0,,
