URBANISATION,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
Rural,84.5,100.0,98.2,29.5,96.5,100.0,25.5,87.6,97.7
Urban,97.7,100.0,99.9,80.6,99.5,99.9,81.8,99.0,99.9
