SERIES,ISCED11_1,ISCED11_2,ISCED11_3
SE_ACC_HNDWSH,76.14179,80.25782,80.16689
SE_ACS_CMPTR,46.67113,61.92368,76.31841
SE_ACS_ELECT,75.70948,85.90088,90.29769
SE_ACS_H2O,75.52822,84.91816,84.39831
SE_ACS_INTNT,39.55774,49.74781,64.7374
SE_ACS_SANIT,76.72077,88.76156,89.1881
SE_INF_DSBL,47.41024,56.0634,56.72498
