SERIES,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Inforce,0,0,0,2,3,8,9,11,15,17,19,19,20,22,23,23,25,25,25,29,29,31,32,32,33,34,37,37,38,38,39,42,42,42,43,45,47,51,55,63,68,71,76,80,86,88,90,92,93,93,95,97,99,99,100,101,101,101,102,102,102,102,102
Signed,0,0,3,8,9,11,14,19,21,21,23,24,24,25,26,27,28,29,31,32,32,34,36,36,38,41,41,41,42,43,44,46,49,50,53,58,65,73,79,85,89,94,99,101,104,107,108,108,109,110,112,113,113,115,116,116,118,118,120,120,120,120,120
