REF_AREA,2011,2013,2015,2017,2019
World,0.11,0.1,0.1,0.1,0.1
Least Developed Countries,1.27,1.16,1.24,1.2,0.88
Small Island Development States,0.49,0.49,0.5,0.51,0.46
