SEX,World,Oceania,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Northern Africa and Western Asia,Eastern and South-Eastern Asia
Female,56.8,33.7,28.0,86.7,88.2,56.7,19.3,53.3,54.8
Male,62.4,32.6,26.6,86.3,82.0,56.2,19.0,60.0,58.0
