Year,Denmark,Finland,Iceland,Norway,Sweden
2000,,3.24138200612715,2.57201169287864,,
2001,2.32466428665821,3.19372333420914,2.83989275093585,1.56019500762108,3.873802776736
2002,2.4414456044838,3.2530776264429,2.82120410381852,1.62644767588683,
2003,2.51084503744712,3.2982214050834,2.70549961091214,1.67572093996964,3.57947750939413
2004,2.41916331461333,3.30907220795173,,1.53975425627879,3.36128901410999
2005,2.39337290680524,3.32369889548052,2.67969228423395,1.4771534027662,3.35957503791258
2006,2.40300259922869,3.332155098122,2.85265680611448,1.44972000623856,3.47499572344016
2007,2.51541238893515,3.33704156688334,2.53293510484808,1.55794445663752,3.23382560135025
2008,2.77345736762991,3.53696831647492,2.46414014433867,1.54556115531809,3.46999475126844
2009,3.055142059803,3.73402168949144,2.59713372023321,1.71678050523996,3.39528075070776
2010,2.91706627653998,3.70532026171582,,1.64120304711342,3.16788677799664
2011,2.94465135824493,3.61806280871524,2.40366524688176,1.61713694545307,3.18701790952291
2012,2.98124711359842,3.39832369165875,,1.61053232864534,3.23024905118397
2013,2.97048153603097,3.27137200777209,1.69237734966777,1.64215853621048,3.26041660399234
2014,2.91409348854176,3.14750818039894,1.93616026863124,1.70369121658207,3.1018375898195
2015,3.05496648172147,2.87196347896019,2.181324979029,1.92350415295208,3.21903451966567
2016,3.0928335625267,2.72441820906776,2.11011318682412,2.03286548450194,3.24736111705671
2017,2.93124361326131,2.72787128647244,2.08413497559574,2.08167486833842,3.3627857077067
2018,2.96602840500797,2.75749372488885,2.00080888196609,2.034823201264,3.32106125833781
2019,2.896854537618,2.79961477207348,2.34164834800669,2.13599515365435,3.38758231066542
2020,2.97258160117595,2.91243414916946,2.49069205004408,2.24436275394871,3.48960353181816
2021,2.76142183564922,2.9854535310059,2.8054174937723,1.93797571908197,3.40215672011487
