REF_AREA,2015,2016,2017,2018,2019,2020,2021,2022
Denmark,5.9,5.8,5.4,5.2,5.0,5.5,6.8,
Finland,9.3,8.4,8.3,7.7,8.0,8.8,10.5,
Iceland,6.4,7.2,6.8,7.2,6.6,6.3,6.1,
Norway,4.8,5.0,4.8,4.8,4.1,4.3,5.2,
Sweden,4.5,5.3,5.4,5.7,5.3,5.3,5.4,
