Year,Denmark,Finland,Iceland,Norway,OECD - Average,Sweden
2017,84.0,77.0,,79.0,51.62,68.0
2019,87.0,76.0,,89.0,56.15,66.0
2022,85.0,82.0,59.0,87.0,55.74,77.0
