TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2020,,,,,,0.73411,,
2021,0.57278,2.47233,0.71966,1.31486,0.26405,,3.48267,0.2155
