SERIES,Denmark,Finland,Iceland,Norway,Sweden
Proportion of groundwater bodies with good ambient water quality,75.0,86.87,100.0,0.0,97.62
Proportion of open water bodies with good ambient water quality,38.0,100.0,100.0,100.0,52.96
Proportion of river water bodies with good ambient water quality,54.0,100.0,100.0,100.0,34.58
Proportion of bodies of water with good ambient water quality,53.42,96.84,100.0,100.0,48.37
