Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,9.5,,,,,11.4,,,,,13.4,,,14.2,14.9,,,16.8,,
Iceland,,,12.4,,,,,20.1,20.1,,21.0,,22.2,,,19.0,,26.6,,
Norway,,,8.0,,,9.0,,,10.0,,,,10.0,,,12.0,,,,13.0
Sweden,9.2,9.2,10.3,9.8,9.9,10.9,9.0,10.6,10.3,10.9,11.3,11.0,11.8,11.7,12.2,12.3,13.0,13.1,14.1,13.7
Finland,22.5,,,,,,,,,,,24.8,21.5,,,,,26.8,,
