TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2018,69.7,55.0,64.6,59.6,41.8,73.6,70.4,84.3
2021,69.5,54.0,68.8,62.4,37.6,74.5,69.5,78.7
