REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,0.06551,0.02179,,0.0347,0.0438,0.05,0.0544,0.0493,0.0466,0.0547,0.0734,0.0634,0.0451,0.0455,0.0642,0.0382,0.0369,0.0288,0.0389,0.0283,0.0304,0.0624
Finland,0.01688,0.02165,0.022,0.0191,,,0.0214,0.0202,0.0213,0.0229,0.025,0.0224,0.0311,0.0321,0.0374,0.0384,0.0291,0.0217,0.0179,0.0182,0.0216,0.0298
Iceland,,,,,,,,,,,,0.0375,0.0465,0.0608,0.0551,0.0603,0.0536,0.0447,0.0458,0.0396,0.0646,0.057
Norway,0.02827,0.0473,0.0545,0.0427,0.0643,0.072,0.0599,0.0709,0.0739,0.0894,0.0669,0.057,0.0543,0.0537,0.0597,0.0763,0.1086,0.103,0.0939,0.0978,0.1451,0.1403
Sweden,0.03559,0.03829,0.0285,0.0373,0.045,0.0387,0.0521,0.0458,0.0571,0.0571,0.048,0.0462,0.0476,0.0503,0.0491,0.0309,0.0347,0.0411,0.0599,0.0497,0.063,0.0606
