TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2010,0.45928,0.4401,0.0,0.12933,0.74783
2011,0.50482,0.43661,0.0,0.14935,0.68658
2012,0.39516,0.45182,0.0,0.09728,0.49352
2013,0.40838,0.53121,0.0,0.16853,0.40965
2014,0.40214,0.73213,0.0,0.15318,0.42359
2015,0.29304,0.57997,0.0,0.13524,0.28492
2016,0.27513,0.59875,0.0,0.12364,0.30511
2017,0.3597,0.59953,0.0,0.11305,0.26913
2018,0.39917,0.65412,0.0,0.09738,0.29044
2019,0.39309,0.57691,0.0,0.09182,0.30873
2020,0.43521,0.62054,0.0,0.08116,0.39475
2021,0.4436,0.58899,0.0,0.08617,0.47378
