TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,13.4,25.9,26.6,18.7,21.9,33.9,24.4,21.9
2005,11.7,23.9,25.3,17.3,20.3,36.0,23.4,20.8
2010,10.2,24.1,24.2,16.4,17.3,36.5,22.7,18.8
2015,9.5,22.9,22.6,15.5,15.9,37.1,21.9,17.2
2019,8.9,22.1,21.4,14.8,15.0,36.6,20.9,16.6
