TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania,Latin America and the Caribbean
2000,99.5,74.1,46.5,67.6,89.8,82.6,81.7
2001,99.5,75.2,47.3,69.1,90.6,82.9,82.5
2002,99.5,76.3,48.1,70.5,91.3,83.1,83.2
2003,99.5,77.5,48.9,71.9,91.9,83.4,84.0
2004,99.6,78.6,49.8,73.3,92.4,83.6,84.7
2005,99.6,79.6,50.8,74.6,92.7,83.9,85.3
2006,99.6,80.5,51.8,75.8,93.0,84.2,85.8
2007,99.6,81.4,52.9,77.0,93.3,84.3,86.3
2008,99.6,82.1,53.9,78.1,93.6,84.4,86.9
2009,99.7,82.9,54.9,79.2,93.9,84.4,87.5
2010,99.7,83.6,55.8,80.2,94.1,84.3,88.0
2011,99.7,84.3,56.6,81.2,94.4,84.4,88.6
2012,99.7,84.9,57.4,82.0,94.7,84.3,89.0
2013,99.7,85.5,58.2,82.9,95.0,84.2,89.5
2014,99.8,86.1,58.9,83.5,95.2,84.2,89.9
2015,99.8,86.6,59.6,84.3,95.5,84.1,90.4
2016,99.8,87.1,60.3,85.0,95.8,84.0,90.9
2017,99.8,87.5,61.1,85.7,96.1,84.1,91.4
2018,99.8,88.0,61.8,86.4,96.3,84.2,91.8
2019,99.8,88.5,62.5,87.0,96.5,84.4,92.3
2020,99.8,88.9,63.2,87.6,96.7,84.7,92.6
