TIME_PERIOD,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2011,41.7,25.0,7.9,26.7,17.4,13.3
2012,16.7,20.5,18.4,17.8,17.4,6.7
2013,16.7,6.8,15.8,35.6,8.7,20.0
2014,8.3,6.8,7.9,6.7,4.3,20.0
2015,0.0,27.3,31.6,20.0,4.3,20.0
2016,0.0,20.5,7.9,13.3,4.3,13.3
2017,25.0,15.9,2.6,22.2,21.7,6.7
2018,8.3,11.4,5.3,0.0,8.7,6.7
2019,33.3,13.6,15.8,15.6,21.7,13.3
2020,66.7,38.6,50.0,55.6,47.8,33.3
2021,33.3,40.9,10.5,6.7,21.7,20.0
