TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2007,8.11,8.7,5.76,6.43,4.76
2008,7.9,8.93,5.46,5.41,5.38
2009,10.91,8.62,4.26,5.77,4.78
2010,11.19,8.32,3.73,7.41,5.95
2011,7.16,8.64,3.91,6.58,4.95
2012,10.81,8.17,4.95,7.56,4.74
2013,10.87,8.29,,6.56,4.02
2014,11.36,8.35,3.28,5.89,4.14
2015,10.97,8.35,,6.43,4.79
2016,7.26,8.61,,5.83,4.25
2017,6.96,8.73,1.66,5.66,4.22
2018,7.79,8.19,1.36,6.18,3.42
2019,7.63,7.97,,5.96,4.31
2020,,6.47,,4.88,3.51
2021,,6.39,,,3.16
