SERIES,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
Basel Convention,60.65,100.0,55.71,42.61,60.65,79.07,,77.39,62.5
Montreal Protocol,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Rotterdam Convention,75.17,87.93,,66.76,72.67,93.24,,69.31,74.01
Stockholm Convention,50.27,100.0,46.88,43.48,53.23,61.28,29.46,48.86,52.68
