TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2015,0.33,0.85,3.23,0.2,0.3,0.84,0.95
2018,0.17,0.25,2.76,0.08,0.16,0.48,0.32
2020,0.23,0.31,2.66,0.09,0.21,0.47,0.48
