SERIES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Global merchandise exports,29.5286,28.9841,29.6785,30.2913,31.5323,34.014,35.4205,35.8182,37.2149,37.6578,39.729,40.8713,42.3776,42.3445,42.3424,42.1354,41.2711,41.6898,42.1863,42.355,43.0848,44.4181
Global service exports,,,,,,21.1633,21.8067,22.4891,23.0647,23.6061,25.8483,26.0865,27.033,27.0244,27.1582,27.9446,27.4331,27.7413,28.0993,28.3898,26.0985,27.1918
