REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,29.12,29.32,30.35,30.78,32.2,33.24,34.11,34.47,35.73,36.48,37.24,37.85,38.31,38.42,38.72,39.34,40.13,41.29,42.15,42.64,,
Finland,24.99,25.0,25.27,25.64,36.53,36.74,36.9,37.29,37.42,37.75,34.4,35.43,35.56,33.87,34.48,34.21,34.2,34.61,34.8,42.96,43.25,
Iceland,34.39,34.71,35.75,36.13,36.12,36.09,36.01,36.1,36.39,36.45,35.88,35.01,35.58,36.05,36.42,37.72,38.49,38.71,38.91,38.91,,
Norway,33.8,35.4,32.18,32.3,34.0,35.63,37.31,38.44,39.55,40.48,41.14,41.88,42.31,43.05,44.29,44.51,45.81,47.35,48.57,49.68,50.86,51.68
Sweden,30.27,31.22,32.13,32.83,33.7,34.47,35.34,36.2,36.79,37.5,38.07,38.82,39.54,40.24,40.89,41.55,42.21,42.7,43.27,42.9,70.62,
