TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,80,30,22,58,70,28,50,45
2005,82,34,26,65,73,30,54,54
2010,84,46,35,70,79,36,60,63
2015,87,55,41,77,82,39,65,71
2017,87,58,42,77,83,38,66,74
2019,87,61,43,77,84,35,67,76
2021,86,61,43,76,84,35,67,75
