REF_AREA,2015,2016,2017,2018,2019,2020
Denmark,1.0,1.1,1.1,1.1,1.1,1.4
Finland,2.4,2.3,2.1,2.0,1.9,2.4
Iceland,1.7,1.7,1.5,1.5,1.5,1.3
Norway,1.1,1.2,1.1,1.1,1.0,1.0
Sweden,0.8,1.0,1.0,1.2,1.2,1.3
