TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,1.19843,1.10456,3.9594,3.86843,1.74016,0.68635,3.68071,1.36925,2.01198
2001,1.18862,1.06112,3.90714,3.85033,1.76823,0.6682,4.01944,1.37193,1.99374
2002,1.18702,1.04381,3.74857,3.72186,1.79491,0.65153,3.43886,1.48255,2.00737
2003,1.1972,0.97517,3.67925,3.67691,1.82621,0.64148,3.52787,1.46604,2.0586
2004,1.20562,0.99535,3.51401,3.55401,1.79215,0.64958,3.07171,1.38497,2.09371
2005,1.19633,0.95983,3.44695,3.51308,1.75743,0.63746,3.26073,1.38573,2.06385
2006,1.20685,0.937,3.43574,3.4796,1.74874,0.63257,3.13875,1.44113,2.07469
2007,1.20264,0.88482,3.45981,3.34529,1.76136,0.61336,3.14737,1.46719,2.03895
2008,1.19637,0.84588,3.42305,3.27907,1.73772,0.5918,3.31619,1.48365,2.01969
2009,1.21817,0.85585,3.31059,3.1124,1.74824,0.55134,3.33603,1.49505,2.14212
2010,1.22794,0.78365,3.15346,3.10472,1.72825,0.54094,3.30897,1.52121,2.16978
2011,1.26543,0.79514,3.28939,3.03672,1.78829,0.54889,3.15502,1.52712,2.21538
2012,1.27219,0.76889,3.30737,3.17352,1.79772,0.5253,3.04455,1.47231,2.23405
2013,1.28042,0.75889,3.14386,3.14746,1.79253,0.52853,2.60975,1.50102,2.22729
2014,1.26325,0.77137,2.893,3.09016,1.76904,0.52519,2.27746,1.46719,2.19028
2015,1.22155,0.74137,2.83783,3.06743,1.77164,0.51292,2.11148,1.4384,2.04715
2016,1.19184,0.69918,2.7027,3.07959,1.8036,0.50295,2.21608,1.36021,1.95288
2017,1.16592,0.75449,2.61483,2.9448,1.81352,0.49499,2.21833,1.38065,1.86086
2018,1.13678,0.75215,2.60313,3.04567,1.80805,0.48558,2.20162,1.42715,1.74334
2019,1.13146,0.78591,2.57307,3.01804,1.86063,0.47447,2.14192,1.45701,1.71654
