TIME_PERIOD,Denmark,Finland,Iceland,Norway,DAC-total,Sweden
2018,0.20147,0.11455,0.12437,0.27444,0.0912,0.34222
2019,0.22098,0.13585,0.09886,0.27861,0.0849,0.32446
2020,0.20936,0.13924,0.10232,0.31545,0.09474,0.35303
