INCOME_WEALTH_QUANTILE,Denmark,Finland,Iceland,Norway,Sweden
B40,1.69,1.38,5.65,-0.24,1.29
_T,1.59,1.3,5.26,0.36,1.3
Difference,0.09999999999999987,0.07999999999999985,0.39000000000000057,-0.6,-0.010000000000000009
