TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,2.95,9.92,1.0,1.3,6.39
2010,6.67,13.39,1.25,3.54,7.23
2015,6.7,12.63,1.27,4.28,7.58
2016,6.7,12.63,1.27,4.43,7.66
2017,6.7,12.63,1.27,4.58,7.74
2018,6.7,12.63,,4.73,7.74
2019,8.39,12.63,,4.88,7.74
2020,8.39,12.63,,5.02,7.74
Pct_change 2010-2020,25.78710644677662,-5.675877520537713,,41.80790960451976,7.05394190871369
