TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,40.6608,100.0,43.9576,38.1435,95.6755
2010,49.7855,99.257,74.1279,30.8706,81.2044
2015,49.7855,100.0,80.9593,45.5893,81.0579
2016,49.7855,100.0,81.9145,49.4852,81.0579
2017,49.7855,100.0,83.3056,50.7701,81.0579
2018,49.7855,100.0,83.3264,50.9184,81.0579
2019,49.7855,100.0,84.593,51.0666,81.0579
2020,49.7855,100.0,85.8804,51.2149,81.0579
Pct_change 2010-2020,0.0,0.748561814280096,15.854354433351004,65.90186131788822,-0.18040894335775298
