REF_AREA,Households,Out-of-home consumption,Retail
Denmark,81.3338,20.6405,29.8001
Finland,65.4242,23.3051,12.8114
Iceland,76.1772,25.5676,12.8099
Norway,78.8006,4.96118,13.7739
Sweden,81.0001,20.5,10.0
