SEX,World,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Latin America and the Caribbean
Female,7.8,1.8,5.6,21.2,3.7,4.5,4.0
Male,11.2,2.8,9.9,26.5,7.1,7.7,7.9
Total,9.6,2.3,7.8,23.9,5.5,6.2,6.0
