TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania,Latin America and the Caribbean
2000,83.1,34.4,19.8,26.4,36.0,58.1,42.9
2001,83.5,35.4,20.0,27.2,37.2,58.6,44.2
2002,83.9,36.5,20.3,28.0,38.1,59.3,45.3
2003,84.2,37.8,20.7,28.9,38.9,60.0,46.4
2004,84.5,39.1,21.2,29.8,39.7,60.5,47.4
2005,84.8,40.5,21.5,31.0,40.4,61.0,48.3
2006,85.0,41.9,21.8,32.2,41.2,61.5,49.3
2007,85.3,43.4,22.2,33.5,42.5,62.0,50.3
2008,85.6,44.9,22.6,35.0,44.2,62.5,51.3
2009,85.9,46.3,23.0,36.7,46.5,63.1,52.4
2010,86.3,47.4,23.3,38.6,49.4,63.4,53.3
2011,86.7,48.4,23.6,40.4,52.5,63.2,54.2
2012,87.1,49.3,24.0,42.1,55.7,63.1,54.9
2013,87.5,50.1,24.2,43.6,58.6,63.0,55.6
2014,87.9,51.0,24.6,45.3,61.2,63.1,56.3
2015,88.2,51.9,24.9,47.0,63.4,63.0,57.1
2016,88.5,53.0,25.2,48.7,65.4,62.6,58.2
2017,88.7,54.2,25.5,49.9,67.2,62.3,59.4
2018,88.9,55.3,25.8,51.0,68.7,62.0,60.7
2019,89.2,56.4,26.2,52.0,70.1,61.7,61.7
2020,89.4,57.3,26.7,53.0,71.2,61.4,62.5
