TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,3.02529,1.66214,3.3401,1.63751,1.79299
2005,2.70641,1.41704,3.24331,1.41683,1.63594
2010,2.56171,1.27796,3.17434,1.30721,1.42609
2011,2.5559,1.27206,3.24363,1.30337,1.4209
2012,1.92838,1.26172,3.15395,1.26127,1.43419
2013,2.58875,1.28066,3.13431,1.25583,1.44425
2014,2.60487,1.27111,3.1364,1.24469,1.43746
2015,2.68275,1.40892,3.14774,1.27394,1.65826
2016,2.65964,1.38385,3.1461,1.23379,1.63147
2017,1.98388,1.33656,3.0885,1.27093,1.54833
2018,2.68302,1.2958,3.11413,1.33247,1.38784
2019,2.51677,1.27978,3.11697,1.32729,1.36086
2020,2.50808,1.2711,3.12898,1.33979,1.35297
