SERIES,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DC_ENVTECH_EXP,959199823432,1107326809524,1106774728608,1127782526273,1163150533954,1079410413334,1049877854395,1104908887020,1166684692139,1184740468843,1165362129057
DC_ENVTECH_IMP,966778968693,1113572841287,1120515364404,1141776093919,1171604706173,1100531727267,1097160052110,1143028969311,1187934364629,1194446742097,1154516785073
Total,1925978792125,2220899650811,2227290093012,2269558620192,2334755240127,2179942140601,2147037906505,2247937856331,2354619056768,2379187210940,2319878914130
