REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,77.0,77.0,77.0,77.0,77.0,77.0,81.0,73.0,71.0,74.0,71.0,72.0,74.0,74.0,75.0,76.0,76.0,76.0,77.0,78.0,78.0,78.0
Finland,89.0,89.0,88.0,88.0,88.0,87.0,86.0,88.0,89.0,88.0,86.0,86.0,89.0,86.0,90.0,89.0,90.0,88.0,90.0,88.0,89.0,90.0
Iceland,68.0,68.0,68.0,67.0,67.0,66.0,66.0,66.0,66.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,,,
Norway,95.0,95.0,95.0,95.0,96.0,96.0,72.0,72.0,72.0,70.0,73.0,75.0,71.0,77.0,79.0,79.0,78.0,81.0,81.0,82.0,82.0,81.0
Sweden,88.0,88.0,88.0,88.0,89.0,89.0,87.0,87.0,87.0,88.0,87.0,88.0,87.0,87.0,88.0,88.0,88.0,86.0,86.0,85.0,84.0,81.0
