REF_AREA,Share covered
World,46.9
Oceania,77.3
Central and Southern Asia,24.1
Sub-Saharan Africa,13.7
Latin America and the Caribbean,56.3
Europe and Northern America,84.9
Northern Africa and Western Asia,44.3
Eastern and South-Eastern Asia,61.2
