ACTIVITY,World,Oceania,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Northern Africa and Western Asia,Eastern and South-Eastern Asia
"Agriculture, forestry and fishing",90.7,80.3,71.7,98.6,94.2,88.0,49.0,92.5,84.0
Non-agriculture,48.9,27.6,25.8,78.1,74.3,51.5,17.9,51.3,47.0
