REF_AREA,2000,2005,2010,2015,2018,2019,2020
Denmark,37.3,30.8,25.5,21.1,18.1,18.1,17.5
Finland,35.7,31.4,27.8,24.5,22.2,22.2,21.6
Iceland,30.2,24.0,19.1,15.2,12.6,12.6,12.0
Norway,44.0,34.3,26.7,20.7,17.1,17.1,16.2
Sweden,43.8,37.6,32.3,27.9,24.8,24.8,24.0
