TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,1.09,2.86,1.78,1.07,1.08
2001,0.97,3.01,0.35,0.82,0.98
2002,0.89,2.54,1.39,1.01,1.13
2003,,1.98,,,0.95
2004,,2.83,,0.78,1.19
2005,,2.27,1.01,0.71,0.92
2006,,2.26,0.0,0.71,1.0
2007,,2.44,0.64,0.64,1.21
2008,,2.5,0.0,0.71,0.89
2009,,2.25,0.31,0.6,1.0
2010,0.76,2.2,0.63,0.59,0.97
2011,0.82,2.04,0.94,2.24,0.86
2012,0.84,1.64,0.31,0.54,0.71
2013,0.85,1.64,0.31,0.91,0.9
2014,1.31,1.61,0.31,0.56,0.89
2015,1.09,1.5,0.91,0.46,1.14
2016,0.98,1.35,0.3,0.52,1.06
2017,1.24,1.22,0.87,0.53,1.12
2018,1.01,1.56,0.85,0.47,1.06
2019,1.14,1.47,0.28,0.52,1.08
2020,0.94,1.65,1.36,0.58,1.2
2021,0.8,,0.54,0.54,1.08
