TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,10.9,34.39,72.51,28.4,7.37,45.88,8.41,23.13
2001,10.56,34.34,72.35,27.83,7.01,43.43,8.15,22.4
2002,11.31,33.56,71.9,28.41,7.07,43.26,8.07,21.72
2003,9.86,33.19,71.09,29.0,7.27,41.3,8.0,20.32
2004,9.77,32.32,70.57,28.93,7.52,39.63,8.31,18.34
2005,9.54,31.86,70.43,28.98,7.91,40.12,7.62,16.76
2006,9.66,31.02,70.6,28.96,8.29,40.08,7.29,16.22
2007,9.71,29.6,70.22,29.12,8.66,38.85,6.57,15.28
2008,9.4,28.51,70.22,29.28,9.16,39.97,6.17,14.98
2009,9.98,28.06,70.35,30.06,9.87,39.14,6.15,14.46
2010,10.99,27.47,70.94,29.19,10.04,36.69,6.21,13.52
2011,11.18,26.65,70.45,28.63,10.47,37.18,5.83,12.84
2012,10.98,26.79,69.39,28.14,11.17,37.58,5.52,12.92
2013,11.73,27.03,68.24,28.02,11.67,40.22,5.66,12.86
2014,11.97,26.59,68.03,28.03,11.84,38.94,5.15,13.25
2015,12.03,26.53,68.66,28.55,11.92,38.45,5.43,13.05
2016,12.12,26.11,68.81,29.26,12.14,37.52,5.47,13.4
2017,12.19,25.8,68.46,29.71,12.45,37.37,5.3,13.7
2018,12.18,25.91,68.47,30.39,12.76,36.16,5.44,13.91
2019,12.51,26.57,68.92,30.89,13.12,36.5,5.98,14.33
2020,13.24,27.92,70.83,34.2,14.33,38.4,6.25,14.79
