TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2001,3630.60375,,6572.47788,4352.06035,5169.30131
2002,4754.85692,,,,
2003,4618.92274,,6657.35956,4495.91322,5383.04692
2004,4843.25403,7821.86137,,4493.54902,5426.07913
2005,5197.44741,7526.63043,7305.2658,4576.56177,6085.10832
2006,5298.45015,7657.22083,8006.67289,4831.9343,6126.64788
2007,5516.35572,7361.54046,7235.98628,5159.67913,4999.70588
2008,6493.89539,7684.80833,7423.61093,5361.11887,5437.16684
2009,6656.97016,7646.33708,7925.97655,5443.09661,5079.7335
2010,6739.18115,7720.22345,,5413.76596,5251.45024
2011,7017.93917,7421.582,6981.39572,5502.46245,5144.55392
2012,7143.2887,7473.70618,,5552.97485,5164.09629
2013,7071.13776,7206.5324,5648.36011,5573.82633,6674.34947
2014,7310.65804,7009.28753,,5685.62686,6875.99043
2015,7528.26439,6844.54752,5887.90678,5890.95502,6834.03397
2016,7846.65759,6531.47954,,6077.56807,7154.52927
2017,7924.95265,6721.83019,6130.51111,6350.06229,7383.41927
2018,8065.88729,6861.10974,,6466.70021,7536.47495
