REF_AREA,2019,2020,2021,2022
Australia and New Zealand,,,,1.0
Central and Southern Asia,4.0,,1.0,
Sub-Saharan Africa,1.0,1.0,3.0,2.0
Latin America and the Caribbean,5.0,6.0,2.0,
Europe and Northern America,3.0,5.0,8.0,7.0
Northern Africa and Western Asia,,1.0,3.0,1.0
Eastern and South-Eastern Asia,3.0,2.0,1.0,2.0
