TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2008,3.21819,2.65078,3.0699,3.60344,3.57804,13.23657,4.63045,4.14799
2009,3.06038,2.83158,3.03068,3.5213,3.28562,10.72806,5.31667,4.1085
2010,2.95977,2.88918,2.80143,3.25695,3.24145,11.86359,5.09136,4.2056
2011,2.93826,2.36793,2.8697,3.1542,3.48527,11.89152,4.3339,4.7111
2012,2.92823,2.5616,2.95805,3.28233,3.40763,11.94409,4.45819,4.85086
2013,3.14132,2.55759,3.30873,3.53484,3.53751,12.06986,4.57089,5.43648
2014,3.24164,2.69289,3.43965,3.77762,3.60442,12.42664,4.85176,5.71148
2015,3.41268,2.4789,3.11909,4.34655,3.48286,12.40457,5.56534,4.05811
2016,3.49761,2.4949,3.13767,4.5999,3.47351,13.14099,5.26572,4.04475
2017,3.44677,2.52725,3.10204,4.51333,3.52934,15.28959,5.82749,4.33658
2018,3.44801,2.55388,3.43916,4.95109,3.67606,17.61843,6.29456,4.57942
2019,2.82279,2.75992,4.14394,5.29603,3.67567,19.21086,7.18579,4.66776
2020,1.86381,0.54976,1.25211,4.44482,2.0806,7.52223,4.1208,2.68254
2021,1.77058,0.42651,1.17913,5.86615,2.23496,,5.2204,2.47992
