Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,0.8,0.7,0.7,0.5,0.7,0.5,0.4,0.5,0.3,0.5,0.6,0.3,0.4,0.3,0.2,0.3,0.4,0.2,0.1
Finland,2.8,2.1,2.0,1.7,1.4,1.5,1.2,1.0,1.1,1.0,0.8,1.0,0.8,0.5,0.6,,0.4,0.5,0.4
Iceland,0.5,1.7,1.5,3.0,1.4,0.9,0.9,2.1,0.5,2.9,0.8,0.4,0.4,,,0.7,,,
Norway,1.2,1.2,0.7,1.1,0.9,0.9,0.8,0.7,0.5,0.6,0.5,0.6,0.4,0.4,0.2,0.2,0.3,,
Sweden,0.7,0.8,0.9,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.3,0.4,0.3,0.4,0.3,0.2,0.2,0.2,0.2
