REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,98.8,98.9,98.8,98.9,98.6,98.8,98.7,97.8,,98.7,98.5,98.5,98.2,96.3,95.9,95.4,94.4,95.1,95.3,,
Finland,99.9,99.9,99.9,99.9,99.8,99.9,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7,99.7,99.6,99.6,99.6,99.5,99.6
Iceland,99.3,99.5,99.4,99.4,99.4,99.0,98.9,98.9,98.7,98.8,98.2,97.9,97.8,98.1,97.8,98.2,97.9,98.0,98.2,98.3,97.4
Norway,99.0,99.1,99.1,99.0,99.1,99.2,99.2,99.1,99.2,99.2,99.1,99.2,99.2,99.1,99.1,99.1,99.1,99.2,99.2,99.3,99.2
