REF_AREA,Basic drinking water services,Basic sanitation services
Australia and New Zealand,99.9747,100.0
Central and Southern Asia,93.3078,76.9015
Sub-Saharan Africa,65.0319,34.6578
Latin America and the Caribbean,97.6321,89.5242
Europe and Northern America,98.8713,97.6062
Oceania*,59.8509,33.2524
Northern Africa and Western Asia,91.9062,92.9209
Eastern and South-Eastern Asia,96.7169,93.815
