TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,1.9,47.7,44.0,18.0,5.4,35.6,26.2,26.1
2001,1.9,47.2,43.5,17.4,5.3,35.9,25.8,24.6
2002,2.0,46.8,43.0,16.9,5.1,36.3,25.5,23.4
2003,2.0,46.4,42.5,16.5,5.0,36.7,25.2,22.5
2004,2.1,45.9,41.9,16.1,4.8,37.2,24.8,21.7
2005,2.1,45.5,41.3,15.7,4.7,37.8,24.4,20.9
2006,2.2,44.9,40.7,15.3,4.6,38.2,24.0,20.2
2007,2.3,44.3,40.0,14.8,4.5,38.7,23.5,19.5
2008,2.3,43.6,39.3,14.4,4.5,39.2,22.8,18.8
2009,2.3,42.7,38.6,14.0,4.4,39.7,22.2,18.0
2010,2.4,41.7,37.9,13.5,4.4,40.0,21.5,17.3
2011,2.4,40.5,37.2,13.1,4.4,40.2,20.8,16.6
2012,2.4,39.2,36.6,12.8,4.4,40.3,20.3,16.0
2013,2.4,37.9,35.9,12.5,4.3,40.3,19.8,15.5
2014,2.4,36.7,35.3,12.2,4.3,40.3,19.4,15.1
2015,2.4,35.5,34.8,12.0,4.3,40.4,19.1,14.8
2016,2.3,34.3,34.3,11.9,4.3,40.6,18.8,14.6
2017,2.3,33.1,33.9,11.8,4.2,40.8,18.5,14.2
2018,2.3,31.9,33.4,11.6,4.2,41.0,18.3,13.9
2019,2.3,30.8,32.8,11.4,4.1,41.2,18.0,13.6
2020,2.3,29.8,32.3,11.3,4.0,41.4,17.8,13.4
