TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,100.47,49.14,14.19,48.45,66.42
2010,106.86,53.64,15.63,57.17,68.74
2015,112.15,59.77,19.86,60.68,70.96
2016,112.38,59.77,20.72,61.38,71.26
2017,112.58,59.77,21.46,62.07,71.56
2018,112.76,59.77,22.21,62.77,71.86
2019,112.93,59.77,22.94,63.46,72.17
2020,113.1,59.77,23.66,64.16,72.47
Pct_change 2010-2020,5.839416058394155,11.428038777032071,51.37555982085732,12.226692321147446,5.42624381728252
