TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2010-2014,2.064,1.122,4.218598,2.696,2.2359999999999998,1.35613,2.144164,2.43934,5.156574000000001
2015-2020,0.7783333333333334,0.7933333333333331,2.5454183333333327,-0.8816666666666667,-2.11,0.7192099999999999,-0.11187333333333334,-0.009561666666666616,3.3408483333333336
