Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Denmark,12.2,12.0,11.8,12.0,11.8,11.8,11.6,11.6,11.3,10.6,10.8,11.0,9.8,10.0,10.1,9.9,10.0,9.7,9.7,9.5,9.7,10.4,
Finland,8.6,9.0,9.2,9.3,9.9,10.0,10.1,10.5,10.3,10.0,9.7,9.8,9.3,9.1,8.8,8.5,8.4,8.4,8.4,8.2,8.2,8.1,
Iceland,6.2,6.4,6.6,6.6,6.8,7.1,7.2,7.5,7.2,7.2,6.8,6.8,6.8,6.8,7.0,7.7,7.5,7.7,7.7,7.4,7.4,,
Norway,5.7,5.5,5.9,6.0,6.2,6.4,6.5,6.6,6.8,6.7,6.6,6.4,6.2,6.2,6.1,6.0,6.0,6.0,6.0,6.1,7.2,7.4,6.6
Sweden,6.2,6.5,6.9,6.9,6.5,6.5,6.8,7.0,7.0,7.3,7.4,7.3,7.2,7.3,7.2,7.1,7.2,7.0,7.2,7.1,7.5,7.6,
