REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,0.04493,0.04287,0.04135,0.04038,0.03993,0.04001,0.04058,0.04113,0.04136,0.04129,0.04087,0.04016,0.03913,0.03774,0.03606,0.03411,0.03188,0.02947,0.02687,0.0242,0.02141,0.01854
Iceland,0.02363,0.02472,0.02607,0.02773,0.02971,0.03206,0.03482,0.03806,0.04165,0.04546,0.04864,0.05105,0.05259,0.05331,0.05324,0.05243,0.05089,0.04862,0.04594,0.04259,0.03879,0.03464
Norway,0.02854,0.02666,0.02536,0.02468,0.02462,0.02516,0.02637,0.02823,0.03077,0.03412,0.03706,0.03915,0.04027,0.04038,0.03942,0.03747,0.03461,0.03091,0.02659,0.02182,0.01689,0.01206
