SERIES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Global merchandise exports,0.54178,0.55147,0.58021,0.56499,0.60398,0.71605,0.78414,0.84033,0.94439,0.94355,0.98488,1.01668,1.01877,1.03203,0.98797,0.91492,0.93823,1.00933,1.05373,1.04024,1.04944,1.05294
Global service exports,,,,,,0.45062,0.46069,0.47282,0.53962,0.59289,0.60587,0.65953,0.69076,0.73952,0.7421,0.74776,0.71403,0.69945,0.7468,0.78411,0.62626,0.57105
