REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Denmark,83,83,83,83,94,94,95,95,100,100,100,100,61,94,67,86,95,85,85,85,85,85,85
Finland,55,60,60,60,90,90,90,90,90,82,88,84,84,84,83,83,83,83,82,80,76,80,80
Iceland,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,16,16,16
Norway,85,85,80,80,77,77,76,76,80,80,96,92,90,89,89,89,87,89,89,89,88,88,88
Sweden,70,70,74,75,90,90,90,90,90,97,97,97,95,95,95,95,93,93,95,95,95,95,95
