REF_AREA,2000,2005,2010,2015,2019
Denmark,15.6,14.8,11.8,10.9,10.7
Finland,24.3,19.9,18.6,14.0,15.3
Iceland,13.1,11.8,12.8,14.3,11.9
Norway,13.9,12.4,12.4,12.5,11.8
Sweden,15.1,15.7,14.7,15.7,14.7
