SEX,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
F,40.0,,2.0,12.0,8.0,14.0,1.0,2.0,1.0
M,150.0,2.0,11.0,36.0,23.0,34.0,11.0,19.0,14.0
