TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2014,11.0,27.2,47.9,24.6,9.3,28.5,8.6
2015,9.4,27.1,49.7,27.3,9.3,26.9,8.5
2016,11.5,26.7,54.2,31.0,8.7,28.0,9.3
2017,14.1,25.7,55.7,32.9,8.4,30.5,12.2
2018,12.8,31.1,55.9,31.4,7.6,29.1,11.8
2019,13.3,33.6,57.7,31.7,7.1,28.3,10.1
2020,11.6,42.2,61.8,39.5,7.8,31.0,11.0
2021,12.2,39.8,63.2,40.6,8.0,33.8,10.3
