SERIES,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
Freshwater KBAs,32.42616,19.68966,45.58709,51.22614,59.09581,0.12804,20.36319,28.35488
Terrestial KBAs,54.22103,19.61421,43.41916,40.6214,62.39114,15.94539,24.15508,31.64844
