Time,Denmark,Finland,Iceland,Norway,Sweden
2010,7.14356750249863,8.54810550808906,7.19086602330208,6.05386272072792,12.0303884148598
2011,7.3298379778862,8.823561668396,7.61352777481079,6.11524060368538,12.0999552309513
2012,7.09000900387764,8.2504115998745,7.07593634724617,6.06539063155651,11.8940234184265
2013,7.5532428920269,8.99844989180565,8.12358632683754,7.07673877477646,13.3909404277802
2014,7.42699354887009,9.26182195544243,6.01763725280762,5.43880946934223,12.5904351472855
2015,8.22071507573128,8.76196026802063,6.3838504254818,6.07909150421619,14.6031498908997
2016,7.76178389787674,8.95079076290131,5.64106181263924,5.77272772789002,15.0855347514152
2017,7.75213614106178,8.06449949741364,0.0,6.14771246910095,13.3286729454994
2018,8.78312662243843,8.85026007890701,9.19455140829086,7.36623555421829,14.502027630806
2019,9.10733416676521,8.93048569560051,,7.34085440635681,14.3614172935486
