REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,12.2,12.2,12.1,11.9,11.7,11.6,11.5,11.4,11.3,11.3,11.2,11.4,11.5,11.5,11.5,11.6,11.8,12.0,12.1,12.2
Finland,10.5,10.3,10.2,10.1,9.9,9.9,9.8,9.7,9.6,9.6,9.6,9.6,9.7,9.7,9.9,10.0,10.2,10.4,10.6,10.9
Iceland,10.2,9.9,9.7,9.6,9.5,9.4,9.4,9.4,9.3,9.3,9.3,9.3,9.4,9.5,9.5,9.6,9.7,9.9,10.1,10.3
Norway,11.6,11.4,11.2,11.0,10.9,10.9,10.8,10.7,10.7,10.7,10.7,10.7,10.7,10.8,10.9,11.0,11.2,11.4,11.7,12.0
Sweden,12.6,12.3,12.2,12.0,11.9,11.8,11.8,11.7,11.7,11.6,11.6,11.6,11.7,11.8,12.0,12.2,12.5,12.8,13.2,13.6
