TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,6.9,1.8,4.6,15.5,21.9,7.0,6.4,5.0,2.3
2001,6.9,1.7,4.5,15.4,22.5,7.5,6.1,5.1,2.2
2002,6.9,1.8,4.3,15.3,23.1,7.3,6.4,5.1,2.2
2003,6.7,1.5,4.1,14.8,22.7,7.0,7.9,5.1,2.1
2004,6.5,1.3,4.3,14.5,21.0,6.6,7.7,5.0,2.0
2005,6.3,1.3,4.1,14.3,20.5,6.2,7.6,5.1,1.8
2006,6.2,1.3,4.1,14.4,20.9,5.5,7.5,5.1,1.7
2007,6.0,1.2,4.1,14.1,20.3,5.1,6.4,5.1,1.5
2008,6.0,1.2,4.2,14.0,21.9,4.3,7.0,5.0,1.4
2009,6.1,1.3,4.1,13.9,23.2,4.0,7.9,4.4,1.6
2010,6.0,1.0,4.0,13.6,23.8,3.8,7.8,4.6,1.5
2011,6.1,1.1,4.1,13.6,24.2,3.7,7.6,4.8,1.4
2012,6.1,1.0,4.0,13.6,24.3,3.7,7.6,4.9,1.4
2013,6.0,1.0,3.9,13.6,23.6,3.6,7.6,5.2,1.3
2014,6.0,1.0,3.9,13.6,23.2,3.7,7.6,5.2,1.3
2015,5.9,1.0,3.5,13.6,22.6,3.9,7.6,5.2,1.3
2016,5.9,1.0,3.2,13.6,23.4,3.9,7.6,5.4,1.3
2017,5.9,0.8,3.1,13.7,23.9,3.6,7.7,5.6,1.1
2018,5.8,1.0,3.1,13.7,23.2,3.4,7.7,5.5,1.0
2019,5.6,1.2,3.0,13.6,21.1,3.3,7.7,5.6,0.9
2020,5.6,1.1,3.0,13.3,21.2,3.7,7.8,5.6,0.9
